Wavelength (μm),Warm White 2200K,Warm White 3000K,Neutral White 4000K ,Cool White 5500K,Cool White 6500K,UVA (365 nm),Violet (385 nm),Violet (395 nm),Violet (405 nm),Deep Blue (436 nm),Royal Blue (453 nm),Dental Blue (460 nm),Cyan (500 nm),PC Lime,Green (517 nm),Amber (593 nm),PC Amber,Red (633 nm),Deep Red (660 nm),Far Red (740 nm),Infra Red (850 nm),Deep Infra Red (940 nm)
0.552,0.005833758,0.007358619,0.012464961,0.015212964,0.015862661,0.00010904,0.000145304,0.000132949,0.000109359,0.000119916,0.000148174,0.00014968,0.003028198,0.02474302,0.008359083,0.000242554,0.002137501,6.65E-05,2.19E-05,8.89E-05,0,0
0.553,0.005937778,0.007369315,0.012416062,0.015258203,0.015873493,0.000112804,0.000144915,0.00010602,9.58E-05,0.000128622,0.000132527,0.000178435,0.00283879,0.024707682,0.007896569,0.000272154,0.002271973,7.39E-05,5.26E-05,0.000109927,0,0
0.554,0.006050996,0.007486171,0.012474143,0.015368588,0.015863106,0.00011736,8.80E-05,0.00011165,0.000113746,0.000148615,0.000110066,0.000151324,0.002557656,0.024659442,0.007429233,0.000289947,0.002394203,7.96E-05,2.41E-05,8.53E-05,0,0
0.555,0.006158743,0.00755907,0.012593925,0.015345136,0.015879621,0.000132923,0.000108302,0.000116129,0.000156957,0.000123163,0.000104083,0.000138358,0.002408338,0.024584929,0.006979815,0.000314811,0.00253694,5.51E-05,1.98E-05,5.78E-05,0,0
0.556,0.006254668,0.007641556,0.012649377,0.015307206,0.015744295,0.000115422,0.000125281,0.000120086,0.000140887,0.000107693,8.51E-05,0.000135717,0.002297067,0.024523066,0.0065018,0.000363191,0.002651215,6.01E-05,3.02E-05,5.08E-05,0,0
0.557,0.006359974,0.007722334,0.012640142,0.015312329,0.015808043,0.000110163,0.000153734,0.000145304,0.000123894,0.000146776,0.000113714,0.000143107,0.002129346,0.024395392,0.006165958,0.00042978,0.002794745,5.30E-05,3.52E-05,6.20E-05,0,0
0.558,0.006486103,0.007795331,0.012648285,0.015287907,0.01570408,0.000114585,0.000161807,0.000144915,0.000123378,0.000136632,0.000130954,0.000125703,0.001910378,0.024295897,0.005802134,0.000512785,0.002936168,7.08E-05,9.79E-05,2.07E-05,0,0
0.559,0.006610589,0.00794066,0.012718191,0.015241739,0.015702723,0.000104935,0.000136521,8.80E-05,0.00013338,0.000138802,0.000125315,0.000113707,0.001743899,0.024240984,0.005439213,0.000578021,0.003075311,9.37E-05,6.55E-05,4.24E-05,0,0
0.56,0.00681589,0.00799708,0.012826144,0.015280733,0.015783488,0.000100013,0.000148851,0.000108302,0.000169141,0.000115301,0.000137322,0.000121201,0.001644288,0.024129546,0.005115314,0.000616098,0.003183808,8.11E-05,2.31E-05,6.20E-05,0,0
0.561,0.006869756,0.008091256,0.012908027,0.015312744,0.015636436,8.44E-05,0.000148987,0.000125281,0.000168212,0.000128077,0.000123701,0.000112517,0.001513564,0.024052261,0.004777713,0.000726894,0.003348935,7.99E-05,3.31E-05,4.91E-05,0,0
0.562,0.006950568,0.008133156,0.012939105,0.015202072,0.015549176,0.000100391,0.000157357,0.000153734,0.000138355,0.000147098,0.000147246,0.000120278,0.001407616,0.023966619,0.00447148,0.000846692,0.00350196,7.13E-05,2.92E-05,8.50E-05,0,0
0.563,0.007167319,0.008299142,0.012894361,0.015236622,0.015577621,0.00011303,0.000179784,0.000161807,0.000137442,0.000102294,0.000140627,0.000111225,0.001351534,0.02386793,0.004262262,0.000950384,0.003622357,9.19E-05,1.30E-05,4.95E-05,0,0
0.564,0.007264612,0.008427183,0.012978051,0.015306694,0.015472704,0.000102141,0.000166591,0.000136521,0.000143453,7.66E-05,0.000134146,0.000101546,0.001238602,0.023780724,0.003966655,0.001068063,0.003748049,0.000106502,1.34E-05,4.38E-05,0,0
0.565,0.007388248,0.008481191,0.013006982,0.015232322,0.01545894,0.00010254,0.000139289,0.000148851,0.000166321,9.66E-05,0.000139312,0.000107989,0.001145874,0.023652083,0.003688295,0.00124477,0.003896501,0.000111328,7.57E-05,6.35E-05,0,0
0.566,0.007531265,0.00856868,0.013004769,0.015259499,0.015429702,0.000124283,0.000143341,0.000148987,0.000149612,9.12E-05,0.000119833,0.000111295,0.00108264,0.023501509,0.003528751,0.001418166,0.003998178,0.000117797,6.07E-05,3.68E-05,0,0
